Date,Open,High,Low,Close,Adj Close,Volume
2016-05-06,848.000000,856.500000,846.750000,853.400024,789.426880,411253
2016-05-09,851.000000,869.700012,839.200012,845.500000,782.119019,3215773
2016-05-10,848.799988,867.900024,845.599976,862.450012,797.798462,1523285
2016-05-11,855.000000,866.799988,851.099976,862.549988,797.890869,697299
2016-05-12,858.400024,862.000000,849.349976,853.000000,789.056885,730642
2016-05-13,852.950012,852.950012,821.950012,831.799988,769.445984,2369627
2016-05-16,833.000000,848.500000,817.000000,846.250000,782.812805,1940183
2016-05-17,850.000000,850.349976,831.000000,834.049988,771.527344,1434067
2016-05-18,833.700012,834.549988,823.000000,825.500000,763.618286,1428456
2016-05-19,826.099976,829.849976,810.349976,815.099976,753.997864,1866764
2016-05-20,820.000000,821.000000,806.150024,812.400024,751.500305,1624617
2016-05-23,817.000000,825.750000,813.049988,819.599976,758.160645,1118741
2016-05-24,819.000000,824.450012,815.450012,823.099976,761.398132,946784
2016-05-25,828.000000,841.450012,827.049988,840.099976,777.123901,1127694
2016-05-26,840.200012,854.000000,832.000000,850.349976,786.605530,2479387
2016-05-27,851.349976,865.950012,850.500000,861.200012,796.642151,1531278
2016-05-30,864.000000,867.200012,849.750000,854.349976,790.305664,776274
2016-05-31,857.799988,859.900024,845.000000,848.200012,784.616699,12132028
2016-06-01,852.150024,863.400024,846.049988,855.150024,791.045654,1223721
2016-06-02,855.000000,873.950012,835.000000,868.200012,803.117493,3409326
2016-06-03,872.000000,888.000000,869.400024,884.849976,818.519226,1752265
2016-06-06,887.599976,892.000000,875.049988,879.349976,813.431519,1941227
2016-06-07,884.000000,898.799988,880.400024,897.049988,829.804749,2185954
2016-06-08,895.000000,908.000000,891.599976,897.200012,829.943542,1470489
2016-06-09,899.000000,899.000000,874.450012,876.450012,810.749023,1376923
2016-06-10,876.000000,884.799988,871.150024,874.650024,809.083923,793113
2016-06-13,867.349976,880.950012,867.349976,874.200012,808.667725,1071858
2016-06-14,872.099976,875.200012,860.299988,865.700012,800.804810,826228
2016-06-15,868.000000,876.599976,863.000000,874.650024,809.083923,863255
2016-06-16,871.849976,880.849976,859.150024,879.450012,813.524109,803719
2016-06-17,883.950012,884.700012,872.500000,881.349976,815.281555,849716
2016-06-20,875.000000,882.349976,870.549988,879.400024,813.477783,526386
2016-06-21,876.500000,879.000000,866.150024,870.250000,805.013672,1214022
2016-06-22,862.950012,867.750000,857.000000,859.250000,803.610901,723156
2016-06-23,860.000000,873.000000,854.299988,869.349976,813.056763,574726
2016-06-24,858.549988,862.200012,847.099976,859.099976,803.470581,1157925
2016-06-27,858.000000,873.849976,855.250000,858.849976,803.236755,815766
2016-06-28,861.000000,889.950012,859.000000,887.750000,830.265381,1607560
2016-06-29,889.900024,894.150024,877.000000,883.799988,826.571228,857945
2016-06-30,891.000000,902.900024,890.549988,898.549988,840.366028,2029009
2016-07-01,898.599976,904.549988,886.099976,897.599976,839.477600,1099564
2016-07-04,900.000000,902.750000,888.000000,893.049988,835.222290,674938
2016-07-05,895.200012,896.200012,886.849976,890.200012,832.556763,631452
2016-07-07,890.000000,920.000000,888.599976,918.299988,858.837219,1689043
2016-07-08,919.000000,926.299988,913.450012,920.700012,861.081726,1579861
2016-07-11,927.000000,934.900024,921.349976,929.400024,869.218445,746028
2016-07-12,933.900024,933.900024,913.650024,925.299988,865.383911,813346
2016-07-13,923.099976,929.750000,917.450012,927.450012,867.394653,598072
2016-07-14,927.000000,935.000000,922.049988,932.950012,872.538513,757072
2016-07-15,935.000000,951.450012,932.049988,941.500000,880.534912,1284879
2016-07-18,944.000000,946.599976,910.000000,921.950012,862.250854,3013256
2016-07-19,904.099976,906.900024,888.000000,895.150024,837.186218,2602482
2016-07-20,899.450012,910.299988,897.200012,906.900024,848.175293,897886
2016-07-21,907.000000,913.650024,900.500000,910.049988,851.121399,876194
2016-07-22,911.200012,915.000000,897.000000,903.200012,844.715027,967993
2016-07-25,900.500000,909.299988,895.700012,906.950012,848.222168,1297630
2016-07-26,911.900024,911.900024,899.000000,902.700012,844.247437,1094799
2016-07-27,900.000000,909.450012,898.250000,903.849976,845.322815,1168069
2016-07-28,904.900024,913.000000,895.099976,909.400024,850.513428,1760367
2016-07-29,905.400024,925.000000,902.549988,922.549988,862.811951,1284438
2016-08-01,930.000000,930.049988,916.150024,925.000000,865.103333,1270582
2016-08-02,928.900024,940.849976,924.200012,927.400024,867.347900,1442265
2016-08-03,926.799988,926.799988,909.549988,913.799988,854.628601,1067729
2016-08-04,922.000000,922.250000,908.849976,918.049988,858.603333,685515
2016-08-05,921.150024,928.650024,916.400024,925.500000,865.571045,936293
2016-08-08,926.549988,934.349976,922.400024,929.500000,869.311951,640018
2016-08-09,929.500000,935.900024,924.150024,934.250000,873.754395,912239
2016-08-10,935.000000,935.349976,922.799988,924.950012,865.056580,675289
2016-08-11,924.900024,938.099976,922.549988,935.650024,875.063721,859803
2016-08-12,934.799988,947.000000,926.000000,935.000000,874.455811,664203
2016-08-16,931.250000,943.900024,921.349976,926.200012,866.225708,847402
2016-08-17,924.900024,925.700012,910.299988,913.200012,854.067444,685242
2016-08-18,913.000000,916.700012,905.250000,906.900024,848.175293,1047855
2016-08-19,909.000000,915.700012,901.250000,910.650024,851.682678,1232642
2016-08-22,911.900024,933.900024,911.900024,930.049988,869.826355,1405730
2016-08-23,931.000000,931.650024,919.049988,921.700012,862.017029,923109
2016-08-24,921.000000,924.950012,908.250000,919.400024,859.865967,929753
2016-08-25,921.000000,922.000000,907.200012,910.799988,851.822815,1760911
2016-08-26,914.799988,914.799988,900.000000,904.500000,845.930664,753284
2016-08-29,906.000000,908.000000,901.000000,905.200012,846.585388,488018
2016-08-30,908.000000,926.299988,907.599976,924.799988,864.916260,921470
2016-08-31,925.000000,926.500000,911.849976,917.049988,857.668030,2185015
2016-09-01,917.099976,929.500000,913.349976,925.799988,865.851624,654587
2016-09-02,923.500000,926.549988,917.549988,920.750000,861.128479,968873
2016-09-06,924.250000,939.750000,922.299988,937.849976,877.121277,811241
2016-09-07,937.000000,938.900024,927.400024,933.000000,872.585388,728867
2016-09-08,933.000000,953.599976,931.500000,951.549988,889.934204,1528195
2016-09-09,950.000000,954.000000,927.400024,929.950012,869.732910,888951
2016-09-12,924.849976,924.849976,912.450012,918.450012,858.977417,677577
2016-09-14,917.000000,924.500000,905.000000,908.450012,849.625000,1349809
2016-09-15,910.200012,920.849976,906.000000,914.000000,854.815674,964711
2016-09-16,916.250000,928.599976,909.400024,911.700012,852.664673,1542460
2016-09-19,915.450012,922.500000,909.099976,911.950012,852.898376,793036
2016-09-20,912.150024,916.799988,900.900024,902.900024,844.434326,1133099
2016-09-21,902.000000,914.549988,900.549988,913.049988,853.927185,1102665
2016-09-22,913.000000,917.950012,903.250000,910.150024,851.214844,1250220
2016-09-23,911.000000,912.500000,901.000000,910.549988,851.588989,1498875
2016-09-26,909.000000,913.900024,886.500000,892.599976,834.801331,1153660
2016-09-27,895.000000,900.950012,889.400024,897.299988,839.197021,849724
2016-09-28,900.000000,900.849976,881.250000,887.150024,829.704346,1877866
2016-09-29,891.000000,892.799988,873.500000,878.299988,821.427368,3307074
2016-09-30,877.099976,879.849976,865.000000,867.849976,811.653992,3104818
2016-10-03,878.000000,878.000000,860.200012,868.750000,812.495667,2066037
2016-10-04,872.000000,872.000000,858.799988,860.400024,804.686462,1465854
2016-10-05,865.000000,873.700012,862.400024,870.950012,814.553284,1781339
2016-10-06,874.000000,886.849976,874.000000,884.450012,827.179077,1360160
2016-10-07,889.700012,889.700012,868.150024,877.250000,820.445313,1088191
2016-10-10,879.700012,885.549988,874.450012,876.150024,819.416626,734544
2016-10-13,869.500000,874.750000,852.500000,862.049988,806.229492,2130773
2016-10-14,854.750000,855.549988,837.000000,842.250000,787.711670,2077909
2016-10-17,844.000000,851.000000,839.000000,849.250000,794.258423,1136539
2016-10-18,850.299988,857.000000,849.000000,855.599976,800.197144,1146943
2016-10-19,855.000000,855.950012,844.049988,846.000000,791.218872,1171167
2016-10-20,848.549988,849.450012,838.599976,840.299988,785.887878,818580
2016-10-21,840.000000,852.250000,837.049988,851.200012,796.082275,1247395
2016-10-24,851.799988,855.000000,844.250000,848.349976,793.416565,1639740
2016-10-25,847.099976,849.799988,829.549988,832.349976,778.452759,1925999
2016-10-26,831.099976,846.799988,826.549988,842.849976,788.272766,1928005
2016-10-27,850.000000,850.000000,818.400024,840.299988,785.887878,3193498
2016-10-28,841.000000,846.950012,833.799988,836.500000,782.333984,1396899
2016-11-01,835.000000,842.700012,831.650024,835.250000,787.757080,891827
2016-11-02,835.000000,848.450012,832.049988,841.099976,793.274414,1085441
2016-11-03,838.150024,848.500000,834.700012,839.400024,791.671082,1975240
2016-11-04,849.000000,866.400024,842.500000,848.000000,799.782104,2273336
2016-11-07,850.000000,851.750000,834.549988,837.650024,790.020569,803129
2016-11-08,838.450012,846.750000,836.099976,844.599976,796.575439,797363
2016-11-09,820.000000,835.349976,799.000000,828.299988,781.202209,2122893
2016-11-10,840.000000,841.900024,813.799988,818.549988,772.006653,1017007
2016-11-11,815.000000,815.000000,798.099976,801.750000,756.161865,1758762
2016-11-15,804.000000,809.799988,783.250000,805.450012,759.651550,2007604
2016-11-16,809.000000,813.500000,798.000000,808.750000,762.763794,2677282
2016-11-17,808.750000,816.000000,803.000000,811.650024,765.498962,665671
2016-11-18,813.000000,814.799988,795.549988,802.849976,757.199280,1462211
